BHK,Rent,Size,Area Type,City,Furnishing Status,Bathroom,Size_per_BHK,Bathroom_per_BHK,Total_rooms
2,10000,1100,Super Area,Kolkata,Unfurnished,2,550.0,1.0,4
2,7000,600,Super Area,Kolkata,Unfurnished,2,300.0,1.0,4
2,10000,700,Super Area,Kolkata,Unfurnished,2,350.0,1.0,4
1,5000,250,Super Area,Kolkata,Unfurnished,1,250.0,1.0,2
2,26000,800,Carpet Area,Kolkata,Unfurnished,2,400.0,1.0,4
2,10000,1000,Carpet Area,Kolkata,Semi-Furnished,2,500.0,1.0,4
1,5000,400,Carpet Area,Kolkata,Unfurnished,1,400.0,1.0,2
1,6500,250,Carpet Area,Kolkata,Furnished,1,250.0,1.0,2
1,5500,375,Carpet Area,Kolkata,Unfurnished,1,375.0,1.0,2
2,9000,400,Carpet Area,Kolkata,Unfurnished,2,200.0,1.0,4
1,4000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
1,8000,400,Super Area,Kolkata,Semi-Furnished,1,400.0,1.0,2
1,5300,355,Carpet Area,Kolkata,Semi-Furnished,1,355.0,1.0,2
2,12500,850,Super Area,Kolkata,Unfurnished,2,425.0,1.0,4
1,7500,350,Carpet Area,Kolkata,Unfurnished,1,350.0,1.0,2
2,15000,900,Carpet Area,Kolkata,Unfurnished,2,450.0,1.0,4
2,5000,500,Carpet Area,Kolkata,Unfurnished,2,250.0,1.0,4
2,21000,900,Carpet Area,Kolkata,Semi-Furnished,2,450.0,1.0,4
1,10000,270,Carpet Area,Kolkata,Semi-Furnished,1,270.0,1.0,2
1,5000,600,Super Area,Kolkata,Unfurnished,1,600.0,1.0,2
1,6000,300,Super Area,Kolkata,Semi-Furnished,1,300.0,1.0,2
2,10000,1300,Super Area,Kolkata,Semi-Furnished,2,650.0,1.0,4
2,12000,650,Super Area,Kolkata,Unfurnished,2,325.0,1.0,4
1,7500,150,Super Area,Kolkata,Furnished,1,150.0,1.0,2
1,7500,450,Carpet Area,Kolkata,Unfurnished,1,450.0,1.0,2
2,15000,1000,Super Area,Kolkata,Unfurnished,2,500.0,1.0,4
1,7000,600,Carpet Area,Kolkata,Unfurnished,1,600.0,1.0,2
2,6000,1200,Super Area,Kolkata,Semi-Furnished,2,600.0,1.0,4
2,7000,650,Super Area,Kolkata,Semi-Furnished,2,325.0,1.0,4
2,8500,720,Carpet Area,Kolkata,Semi-Furnished,2,360.0,1.0,4
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
3,30000,1200,Carpet Area,Kolkata,Unfurnished,3,400.0,1.0,6
2,10000,700,Carpet Area,Kolkata,Unfurnished,2,350.0,1.0,4
1,3500,250,Super Area,Kolkata,Semi-Furnished,1,250.0,1.0,2
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
1,7500,680,Super Area,Kolkata,Unfurnished,1,680.0,1.0,2
1,7500,680,Super Area,Kolkata,Unfurnished,1,680.0,1.0,2
2,12500,950,Super Area,Kolkata,Semi-Furnished,2,475.0,1.0,4
1,5000,450,Carpet Area,Kolkata,Semi-Furnished,1,450.0,1.0,2
1,8000,500,Super Area,Kolkata,Unfurnished,1,500.0,1.0,2
1,8200,500,Carpet Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
2,15000,480,Carpet Area,Kolkata,Furnished,2,240.0,1.0,4
1,10000,435,Super Area,Kolkata,Unfurnished,1,435.0,1.0,2
2,7000,700,Carpet Area,Kolkata,Semi-Furnished,2,350.0,1.0,4
2,18000,800,Carpet Area,Kolkata,Unfurnished,2,400.0,1.0,4
2,12000,550,Carpet Area,Kolkata,Semi-Furnished,2,275.0,1.0,4
1,9000,600,Super Area,Kolkata,Furnished,1,600.0,1.0,2
1,6000,500,Super Area,Kolkata,Unfurnished,1,500.0,1.0,2
2,20000,1000,Super Area,Kolkata,Furnished,2,500.0,1.0,4
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
2,12000,1200,Super Area,Kolkata,Furnished,2,600.0,1.0,4
2,15000,900,Carpet Area,Kolkata,Semi-Furnished,2,450.0,1.0,4
3,22000,1300,Carpet Area,Kolkata,Unfurnished,3,433.3333333333333,1.0,6
2,25000,1100,Super Area,Kolkata,Furnished,2,550.0,1.0,4
1,6000,600,Carpet Area,Kolkata,Unfurnished,1,600.0,1.0,2
2,14000,700,Carpet Area,Kolkata,Unfurnished,2,350.0,1.0,4
1,6000,220,Super Area,Kolkata,Furnished,1,220.0,1.0,2
1,8000,300,Carpet Area,Kolkata,Semi-Furnished,1,300.0,1.0,2
1,6000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
1,20000,700,Super Area,Kolkata,Semi-Furnished,1,700.0,1.0,2
2,14000,1000,Carpet Area,Kolkata,Unfurnished,2,500.0,1.0,4
1,3900,200,Super Area,Kolkata,Furnished,1,200.0,1.0,2
1,6300,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
2,13000,550,Carpet Area,Kolkata,Furnished,2,275.0,1.0,4
1,6800,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
2,8000,800,Super Area,Kolkata,Unfurnished,2,400.0,1.0,4
2,18000,1300,Super Area,Kolkata,Unfurnished,2,650.0,1.0,4
1,4700,250,Super Area,Kolkata,Furnished,1,250.0,1.0,2
1,4700,250,Super Area,Kolkata,Furnished,1,250.0,1.0,2
1,4500,450,Super Area,Kolkata,Unfurnished,1,450.0,1.0,2
1,6000,300,Carpet Area,Kolkata,Semi-Furnished,1,300.0,1.0,2
2,16000,750,Super Area,Kolkata,Unfurnished,2,375.0,1.0,4
1,4700,250,Super Area,Kolkata,Furnished,1,250.0,1.0,2
2,17500,1000,Carpet Area,Kolkata,Semi-Furnished,2,500.0,1.0,4
2,12500,750,Carpet Area,Kolkata,Unfurnished,2,375.0,1.0,4
2,7000,1200,Super Area,Kolkata,Unfurnished,2,600.0,1.0,4
3,20000,1100,Super Area,Kolkata,Unfurnished,3,366.6666666666667,1.0,6
1,3500,250,Super Area,Kolkata,Furnished,1,250.0,1.0,2
2,10000,700,Super Area,Kolkata,Unfurnished,2,350.0,1.0,4
2,14500,900,Carpet Area,Kolkata,Unfurnished,2,450.0,1.0,4
1,6000,700,Super Area,Kolkata,Unfurnished,1,700.0,1.0,2
2,9500,700,Super Area,Kolkata,Unfurnished,2,350.0,1.0,4
2,10000,450,Carpet Area,Kolkata,Semi-Furnished,2,225.0,1.0,4
1,3500,120,Super Area,Kolkata,Unfurnished,1,120.0,1.0,2
2,9000,800,Super Area,Kolkata,Semi-Furnished,2,400.0,1.0,4
1,5000,190,Super Area,Kolkata,Semi-Furnished,1,190.0,1.0,2
1,7000,240,Carpet Area,Kolkata,Unfurnished,1,240.0,1.0,2
1,5500,450,Carpet Area,Kolkata,Furnished,1,450.0,1.0,2
